id;systementrytimestamp;animalid;begintime;endtime;totalyieldkg;expectedyieldkg;milkingdeviceid;milkingsamplerackno;milkingsampletubepos;milkingsampletubeid;avgconductivity;maxblood
54198;2022-12-03 02:39:54.717;51;2022-12-03 02:31:34.000;2022-12-03 02:36:33.000;10.47;10.674;15;0;0;0;4118;0
54207;2022-12-03 04:45:49.333;56;2022-12-03 04:37:37.000;2022-12-03 04:43:02.000;12.32;11.667;15;0;0;0;4354;0
54214;2022-12-03 06:46:33.527;58;2022-12-03 06:36:55.000;2022-12-03 06:43:17.000;11.44;12.286;15;0;0;0;4444;0
54219;2022-12-03 07:46:31.447;61;2022-12-03 07:32:18.000;2022-12-03 07:42:59.000;8.06;8.656;15;0;0;0;3416;0
54243;2022-12-03 11:36:22.637;51;2022-12-03 11:28:24.000;2022-12-03 11:33:39.000;11.05;11.063;15;0;0;0;4220;0
54256;2022-12-03 14:17:50.910;58;2022-12-03 14:08:44.000;2022-12-03 14:15:09.000;10.48;10.314;15;0;0;0;4307;0
54261;2022-12-03 15:08:47.283;61;2022-12-03 14:56:03.000;2022-12-03 15:05:25.000;7.69;6.574;15;0;0;0;4308;0
54286;2022-12-03 19:35:23.110;51;2022-12-03 19:28:11.000;2022-12-03 19:32:42.000;9.3;9.871;15;0;0;0;4135;0
54296;2022-12-03 21:53:19.883;61;2022-12-03 21:42:30.000;2022-12-03 21:49:24.000;6.27;6.163;15;0;0;0;4505;0
54303;2022-12-03 22:48:54.110;58;2022-12-03 22:39:51.000;2022-12-03 22:45:35.000;11.1;11.646;15;0;0;0;4393;0
54308;2022-12-03 23:23:48.167;56;2022-12-03 23:13:54.000;2022-12-03 23:21:10.000;17.82;19.904;15;0;0;0;4452;0
54326;2022-12-04 02:14:07.207;51;2022-12-04 02:05:04.000;2022-12-04 02:11:29.000;8.46;8.243;15;0;0;0;4127;0
54341;2022-12-04 05:48:47.443;58;2022-12-04 05:39:35.000;2022-12-04 05:45:25.000;10.08;9.611;15;0;0;0;4225;0
54342;2022-12-04 06:03:04.917;61;2022-12-04 05:48:21.000;2022-12-04 06:00:10.000;8.21;7.412;15;0;0;0;4436;0
54376;2022-12-04 11:40:36.403;51;2022-12-04 11:31:05.000;2022-12-04 11:37:17.000;12.83;11.666;15;0;0;0;4269;0
54382;2022-12-04 12:36:39.263;61;2022-12-04 12:24:56.000;2022-12-04 12:33:49.000;6.66;6.091;15;0;0;0;4519;305
54389;2022-12-04 13:40:53.727;56;2022-12-04 13:31:11.000;2022-12-04 13:37:37.000;15.47;14.835;15;0;0;0;4320;0
54391;2022-12-04 13:57:22.270;58;2022-12-04 13:48:15.000;2022-12-04 13:54:06.000;10.96;11.256;15;0;0;0;4406;0
54414;2022-12-04 18:27:20.283;51;2022-12-04 18:19:05.000;2022-12-04 18:24:46.000;8.87;8.544;15;0;0;0;4152;0
54422;2022-12-04 20:19:39.863;61;2022-12-04 20:06:47.000;2022-12-04 20:16:09.000;7.09;7.125;15;0;0;0;4550;0
54429;2022-12-04 21:41:32.647;58;2022-12-04 21:32:38.000;2022-12-04 21:38:58.000;10.82;10.612;15;0;0;0;4297;0
54450;2022-12-05 00:53:18.953;56;2022-12-05 00:44:50.000;2022-12-05 00:50:03.000;12.31;11.801;15;0;0;0;4374;0
54454;2022-12-05 01:26:24.200;51;2022-12-05 01:17:35.000;2022-12-05 01:23:08.000;8.76;8.821;15;0;0;0;4104;303
54471;2022-12-05 05:36:22.253;58;2022-12-05 05:26:09.000;2022-12-05 05:33:03.000;11;10.889;15;0;0;0;4196;0
54473;2022-12-05 06:09:23.203;61;2022-12-05 05:54:18.000;2022-12-05 06:05:43.000;8.86;9.083;15;0;0;0;4377;0
54501;2022-12-05 11:44:31.500;51;2022-12-05 11:35:54.000;2022-12-05 11:41:53.000;12.36;12.888;15;0;0;0;4085;0
54508;2022-12-05 12:35:50.770;58;2022-12-05 12:27:03.000;2022-12-05 12:32:35.000;9;9.592;15;0;0;0;4219;0
54520;2022-12-05 15:13:02.820;61;2022-12-05 14:50:48.000;2022-12-05 15:09:01.000;6.18;8.289;15;0;0;0;3633;0
54525;2022-12-05 15:54:26.327;56;2022-12-05 15:44:43.000;2022-12-05 15:51:07.000;16.28;15.856;15;0;0;0;4420;0
54545;2022-12-05 19:03:41.387;58;2022-12-05 18:55:58.000;2022-12-05 19:01:06.000;7.46;8.916;15;0;0;0;4238;0
54552;2022-12-05 20:19:55.023;51;2022-12-05 20:11:09.000;2022-12-05 20:17:17.000;9.97;10.612;15;0;0;0;3969;0
54562;2022-12-05 21:41:40.807;61;2022-12-05 21:28:41.000;2022-12-05 21:37:57.000;7.07;6.071;15;0;0;0;3773;0
54575;2022-12-06 00:12:27.313;56;2022-12-06 00:04:17.000;2022-12-06 00:09:12.000;8.78;8.891;15;0;0;0;4168;0
54589;2022-12-06 02:16:41.430;58;2022-12-06 02:07:44.000;2022-12-06 02:13:22.000;9.54;9.729;15;0;0;0;4245;0
54601;2022-12-06 05:26:14.130;51;2022-12-06 05:16:50.000;2022-12-06 05:23:36.000;11.3;11.135;15;0;0;0;4022;301
54604;2022-12-06 05:54:59.017;61;2022-12-06 05:39:33.000;2022-12-06 05:52:07.000;9.59;7.542;15;0;0;0;4295;0
54635;2022-12-06 10:40:44.097;58;2022-12-06 10:31:02.000;2022-12-06 10:38:09.000;11.22;11.297;15;0;0;0;4237;0
54650;2022-12-06 13:09:39.200;61;2022-12-06 12:52:55.000;2022-12-06 13:06:01.000;7.45;6.806;15;0;0;0;4201;0
54652;2022-12-06 13:23:15.690;51;2022-12-06 13:15:58.000;2022-12-06 13:20:35.000;9.29;9.848;15;0;0;0;3970;0
54656;2022-12-06 13:58:38.987;56;2022-12-06 13:49:58.000;2022-12-06 13:56:01.000;14.26;14.626;15;0;0;0;4240;0
54677;2022-12-06 17:48:11.063;58;2022-12-06 17:39:38.000;2022-12-06 17:44:55.000;9.23;9.592;15;0;0;0;4250;0
54700;2022-12-06 21:06:25.077;61;2022-12-06 20:56:12.000;2022-12-06 21:06:13.000;8.3;7.652;15;0;0;0;3471;0
54708;2022-12-06 22:22:14.877;51;2022-12-06 22:17:21.000;2022-12-06 22:22:02.000;10.8;11.049;15;0;0;0;4052;0
