id;milkflowdurationsec;incomplete;quarterlfyield;quarterrfyield;quarterlryield;quartelrfyield;meanflowlf;meanflowrf;meanflowlr;meanflowrr;peakflowlf;peakflowrf;peakflowlr;peakflowrr;conductivitylf;conductivityrf;conductivitylr;conductivityrr;bloodlf;bloodrf;bloodlr;bloodrr;scc
54198;197;0;2.54;2.55;2.71;2.67;1.44;1.14;1.86;1.68;2.1;1.68;2.52;2.16;4.169;4.138;4.054;4.119;0;0;0;0;180
54207;236;0;2.86;3.02;3.27;3.17;1.08;1.44;0.96;1.26;1.44;2.04;1.32;1.62;4.309;4.4;4.26;4.449;0;0;0;0;517
54214;277;0;3.07;3.41;2.79;2.17;0.84;1.02;0.9;0.6;1.08;1.32;1.2;0.84;4.51;4.531;4.266;4.446;0;0;0;0;2
54219;531;0;1.86;1.71;2.16;2.33;0.36;0.36;0.42;0.54;0.78;0.78;0.84;0.72;3.98;0;4.443;4.522;0;0;0;0;5
54243;189;0;2.58;2.85;2.69;2.93;1.5;1.32;1.8;1.68;1.98;1.92;2.52;2.34;4.238;4.273;4.196;4.175;0;0;0;0;165
54256;299;0;2.91;3.02;2.52;2.03;0.72;0.96;0.9;0.54;1.02;1.2;1.26;0.78;4.298;4.399;4.193;4.327;0;0;0;0;0
54261;389;0;1.46;1.64;2.13;2.46;0.36;0.42;0.42;0.54;0.84;1.02;0.66;1.02;4.298;4.066;4.325;4.461;0;0;0;0;2
54286;176;0;2.21;2.35;2.27;2.47;1.5;1.26;1.74;1.56;2.04;1.8;2.28;2.1;4.181;4.125;4.122;4.119;0;0;0;0;168
54296;288;0;1.47;1.24;1.6;1.96;0.42;0.42;0.42;0.54;0.6;1.14;0.6;0.84;4.565;4.331;4.406;4.653;0;0;0;0;11
54303;255;0;3.05;3.42;2.54;2.09;0.9;1.14;0.78;0.66;1.26;1.5;1.26;0.84;4.365;4.469;4.335;4.384;0;0;0;0;5
54308;344;0;4.21;4.18;5.18;4.25;1.14;1.62;1.02;1.38;1.5;2.1;1.5;1.8;4.501;4.461;4.407;4.451;0;0;0;0;245
54326;297;0;2.15;1.9;2.24;2.17;1.08;0.72;1.38;1.02;1.5;1.2;1.92;1.44;4.171;3.926;4.266;4.117;0;0;0;0;134
54341;259;0;2.89;3.16;2.09;1.94;0.84;0.96;0.9;0.6;1.26;1.32;1.32;0.84;4.235;4.255;4.203;4.19;0;0;0;0;14
54342;605;0;2.12;1.74;2.03;2.32;0.36;0.42;0.42;0.6;1.02;1.02;1.02;1.14;4.238;4.258;4.47;4.721;0;0;0;0;60
54376;282;0;3;3.24;3.31;3.28;1.5;1.32;1.5;1.56;1.98;1.98;2.52;2.16;4.309;4.332;4.19;4.252;0;0;0;0;94
54382;432;0;1.83;1.34;1.62;1.87;0.42;0.36;0.54;0.6;0.6;0.66;0.78;0.9;4.379;4.268;4.65;4.723;305;0;0;0;88
54389;298;0;3.69;3.79;4.13;3.86;1.14;1.44;0.96;1.32;1.5;1.8;1.32;1.74;4.315;4.266;4.256;4.447;0;0;0;0;91
54391;264;0;2.88;3.22;2.84;2.02;1.02;0.96;1.02;0.6;1.32;1.38;1.38;0.78;4.512;4.401;4.325;4.381;0;0;0;0;5
54414;250;0;2.18;2.05;2.2;2.44;1.5;1.38;1.62;1.56;1.98;1.98;2.16;2.04;4.235;4.12;4.139;4.12;0;0;0;0;108
54422;445;0;1.66;1.42;1.84;2.17;0.36;0.36;0.42;0.48;0.72;0.6;0.9;0.72;4.431;4.532;4.469;4.723;0;0;0;0;88
54429;291;0;2.97;3.25;2.61;1.99;0.84;1.02;0.9;0.54;1.2;1.32;1.2;0.78;4.299;4.404;4.201;4.246;0;0;0;0;0
54450;214;0;2.78;3.21;3.09;3.23;1.02;1.44;1.02;1.2;1.32;1.86;1.5;1.74;4.298;4.542;4.263;4.381;0;0;0;0;245
54454;244;0;2.14;2.37;2.05;2.2;1.5;1.2;1.44;1.44;2.04;1.8;1.98;1.92;4.157;4.142;4.062;4.052;303;0;0;0;97
54471;307;0;3;3.25;2.66;2.09;0.72;0.84;0.9;0.54;1.08;1.2;1.26;0.72;4.228;4.261;4.146;4.114;0;0;0;0;14
54473;565;0;2.04;1.95;2.22;2.65;0.42;0.42;0.48;0.6;1.02;1.02;1.2;1.32;4.163;4.196;4.412;4.647;0;0;0;0;65
54501;272;0;2.85;3.15;3.13;3.23;1.56;1.32;1.68;1.26;1.98;1.92;2.4;1.74;4.15;4.081;4.012;4.103;0;0;0;0;65
54508;245;0;2.43;2.68;2.17;1.72;0.78;0.9;0.9;0.6;1.02;1.2;1.26;0.84;4.218;4.216;4.215;4.233;0;0;0;0;8
